""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"pyridoxal-phosphate (C_c)"	0.33357562748124	0	0.0831356397403446	0.38755523717366	0.38755523717366	0.000458505272810637	0.000476190476190476	0.000548546352166758	0.000715819613457409	0.000715819613457409
"porphobilinogen (C_c)"	0.299867643309859	0.409760221691033	0			0.000458505272810637	0.00153374233128834	0.000475511174512601	0.000310462589257994	0.000310462589257994
"estradiol-17beta 3-glucuronide (C_c)"	0.315702338185175	0.36495881557467	0			0.000458505272810637	0.00151515151515152	0.000475511174512601	0.000310462589257994	0.000310462589257994
"estradiol-17beta 3-glucuronide (C_s)"	0.315702338185175	0.36495881557467	0			0.000458505272810637	0.00151515151515152	0.000475511174512601	0.000310462589257994	0.000310462589257994
"glucosylceramide pool (C_r)"	0.317475871457721	0	0.0280518865902969	0.187842304644824	0.187842304644824	0.00045766590389016	0.00044404973357016	0.000611995104039168	0.000559597090095132	0.000559597090095132
"LacCer pool (C_r)"	0.317475871457721	0	0.0280518865902969	0.187842304644824	0.187842304644824	0.00045766590389016	0.00044404973357016	0.000611995104039168	0.000559597090095132	0.000559597090095132
"digalactosylceramide (C_c)"	0.317475871457721	0	0.0280518865902969	0.187842304644824	0.187842304644824	0.00045766590389016	0.00044404973357016	0.000611995104039168	0.000559597090095132	0.000559597090095132
"digalactosylceramide (C_g)"	0.317475871457721	0	0.0280518865902969	0.187842304644824	0.187842304644824	0.00045766590389016	0.00044404973357016	0.000611995104039168	0.000559597090095132	0.000559597090095132
"13(S)-HPODE (C_c)"	0.291851150289595	0.162310574789983	0	0.225592534078368	0.225592534078368	0.000456829602558246	0.000637348629700446	0.000475511174512601	0.000579374275782155	0.000579374275782155
"cholesterol-ester-laur (C_l)"	0.263093799747267	0.409760221691033	0	0.0218468842097546	0.0218468842097546	0.000456829602558246	0.0014367816091954	0.000475511174512601	0.00036036036036036	0.00036036036036036
